a	啊,阿,吖,锕,腌,呵,嗄
cha	差,查,察,茶,插,诧,叉,岔,嚓,茬,衩,碴,姹,杈,搽,刹,檫,槎,汊,侘,镲,猹,锸,馇,垞,蹅,嵖,𥻗,喳,楂,偛,鍤,査,嗏,臿,靫,奼,疀,艖,紁
chai	拆,柴,钗,差,豺,侪,茝,虿,瘥,犲,釵,儕,喍,蠆,祡,袃,囆
chan	产,颤,缠,禅,蝉,搀,铲,婵,掺,阐,忏,馋,潺,蟾,谄,谗,孱,冁,澶,觇,镡,羼,廛,巉,蒇,韂,躔,浐,刬,襜,瀍,骣,镵,辿,旵,啴,梴,单,儳,𬊤,煘,禪,鑱,產,顫,纏,鋋,劖,蟬,摻,懺,瀺,饞,讒,棎,毚,丳,摲,闡,諂,湹,鏟,嬋,剷,産,嵼,灛,幨,蕆,壥,繟,纒,懴,滻,簅,囅,嚵,幝,獑,酁,磛,艬,鋓
chang	长,常,场,唱,厂,尝,昌,畅,肠,偿,敞,怅,倡,娼,嫦,猖,裳,昶,徜,氅,伥,菖,苌,阊,鬯,惝,鲳,鲿,𬬮,倘,長,場,嘗,廠,暢,償,腸,鋹,嚐,萇,悵,厰,僘,韔,甞,錩,蟐,膓,椙,裮,淐,琩,鯧,鋿,鱨,鼚
chao	超,朝,潮,吵,嘲,抄,炒,巢,钞,晁,焯,耖,怊,弨,剿,绰,牊,鈔,巣,漅,眧,鄛,罺,巐,轈,窲
che	车,彻,扯,撤,澈,掣,砗,坼,尺,㬚,車,徹,偖,迠,硨,硩,撦,烢,莗
chen	沉,陈,臣,晨,尘,趁,辰,衬,嗔,琛,称,宸,忱,抻,碜,谌,谶,郴,棽,瞋,榇,龀,疢,梣,煁,沈,𬘭,伧,陳,塵,傖,襯,讖,蔯,踸,諃,茞,諶,莐,嚫,磣,墋,贂,螴,肜,鷐,賝,樄,揨,麎,齔
cheng	成,城,程,称,承,诚,盛,乘,撑,呈,惩,丞,澄,逞,橙,骋,瞠,秤,铖,塍,琤,裎,澂,埕,柽,蛏,酲,枨,珵,赪,偁,宬,牚,珹,憕,庱,噌,晟,樘,铛,稱,棖,悜,誠,脭,撐,郕,懲,橕,掁,荿,棦,峸,騁,鋮,檉,筬,蟶,碀,赬,浾,騬,溗,竀,饓,鏿
chi	吃,持,迟,赤,痴,池,尺,齿,斥,驰,耻,翅,哧,炽,嗤,蚩,叱,弛,侈,啻,敕,螭,魑,饬,笞,匙,踟,墀,豉,媸,褫,鸱,彳,茌,篪,𫄨,瘛,摛,眵,傺,漦,胣,瓻,痓,叺,湁,呎,遲,黐,歯,恥,齒,馳,絺,坻,癡,熾,勅,懘,喫,瘈,鶒,鉓,妛,荎,抶,攡,淔,痸,遅,鴟,遫,蚇,瞝,謘,鉹,鵄,翨,鷘,腟,岻,饎,貾,齝,麶
chong	冲,充,重,虫,崇,宠,忡,憧,铳,舂,艟,翀,茺,珫,摏,漴,种,㳘,涌,衝,沖,蟲,蹖,寵,銃,罿,隀,浺,憃
chou	抽,仇,臭,丑,愁,筹,瞅,酬,绸,畴,踌,惆,稠,俦,雠,瘳,犨,杻,帱,椆,侴,醜,籌,栦,疇,讎,篘,吜,綢,菗,絒,殠,讐,杽,雔,躊,燽,懤,嬦
chu	出,处,楚,除,初,触,厨,础,储,畜,褚,搐,橱,躇,雏,锄,矗,杵,楮,怵,黜,绌,蜍,刍,滁,樗,蹰,憷,亍,俶,斶,摴,䝙,䢺,柷,濋,琡,𬺓,処,處,滀,儊,儲,絀,齣,敊,觸,芻,廚,貙,雛,櫥,歜,蒢,篨,鋤,鶵,耡,礎,豖,趎,犓,懨,蒭,鄐,幮,珿,躕,臅,檚
chua	欻
chuai	揣,踹,搋,啜,嘬,膪,欼,膗
chuan	传,穿,船,川,喘,串,钏,椽,舛,氚,遄,傳,巛,荈,舡,踳,瑏,釧,汌,歂,賗,玔,輲,暷
chuang	床,窗,创,疮,闯,怆,幢,噇,創,闖,摐,瘡,傸,愴,牀,剏,刱,窓,磢
chui	吹,垂,锤,捶,炊,槌,陲,棰,圌,倕,椎,缍,錘,鎚,菙
chun	春,纯,唇,蠢,淳,醇,椿,鹑,莼,蝽,䲠,堾,瑃,𬭚,純,脣,偆,賰,暙,橁,蓴,犉,惷,漘,杶,鶉,萶,鰆,槆,媋,鶞,鯙
chuo	戳,啜,龊,辍,绰,踔,惙,逴,磭,綽,歠,娖,輟,齪,嚽,擉
ci	此,次,刺,词,辞,慈,赐,磁,伺,瓷,茨,雌,祠,呲,疵,泚,糍,鹚,茈,跐,玼,佽,差,兹,莿,𫚖,詞,賜,栨,辭,偨,佌,嬨,絘,庛,朿,蛓,柌,濨,趀,飺,皉,鶿,餈,茦
cong	从,匆,聪,丛,葱,琮,淙,囱,骢,苁,枞,璁,熜,悰,蟌,從,婃,聰,従,蔥,囪,聡,叢,怱,悤,賨,驄,慒,孮,謥,暰,欉,鏦,藂,樅,瑽,瞛,徖
cou	凑,辏,腠,湊,玼,楱,輳
cu	粗,促,醋,簇,猝,蹙,蹴,卒,徂,酢,殂,蔟,瘯,憱,麁,顣,麤,觕,踧,踀,鼀
cuan	窜,蹿,篡,撺,攒,汆,爨,镩,酂,竄,攢,巑,攅,攛,躥,簒
cui	脆,催,翠,崔,摧,粹,悴,璀,啐,萃,瘁,淬,榱,毳,漼,缞,衰,墔,膵,凗,焠,膬,磪,忰,翆,鏙,竁,慛
cun	存,村,寸,忖,皴,邨,蹲,吋,籿,刌
cuo	错,措,挫,搓,撮,磋,蹉,锉,厝,矬,嵯,痤,鹾,脞,瑳,棤,瘥,莝,酂,錯,夎,剉,齹,剒,醝,鹺,銼,蒫,蓌,遳,嵳,髊
da	大,打,答,达,搭,哒,瘩,嗒,沓,耷,鞑,靼,妲,褡,跶,怛,笪,垯,溚,炟,荙,𫟼,鿎,𨱏,達,噠,龘,咑,躂,鐽,薘,燵,羍,繨,匒,韃,鎝,畣
dai	带,代,待,呆,袋,戴,黛,歹,贷,逮,怠,殆,岱,玳,呔,傣,大,迨,绐,叇,埭,骀,轪,垈,甙,帶,汏,帯,貸,瀻,軑,襶,柋,紿,獃,靆,艜,軩
dan	但,单,淡,担,弹,丹,蛋,胆,旦,诞,耽,惮,石,眈,丼,澹,掸,郸,殚,啖,氮,儋,聃,箪,亶,疸,萏,𬘘,瘅,疍,赕,憺,膻,𫢸,鿕,嵅,卩,單,勯,膽,窞,噉,擔,帎,紞,殫,誕,啗,泹,啿,憚,褝,簞,亻,柦,襌,酖,蜑,玬,譂,觛,匰,禫,燀,狚,砃,嚪,甔,聸,癚,贉,澸,鄲,刐,髧,沊,鴠,黕,霮,衴
dang	当,党,荡,挡,档,铛,裆,宕,砀,珰,凼,谠,垱,菪,筜,氹,𣗋,𬍡,嵅,當,檔,黨,噹,擋,儅,蕩,璫,簹,讜,盪,鐺,襠,璗,礑,蟷,澢,碭,艡,瓽
dao	到,倒,道,刀,导,岛,盗,叨,蹈,祷,捣,稻,悼,纛,氘,忉,捯,鱽,帱,舠,焘,屶,槝,刂,島,瓙,菿,導,嶋,盜,檤,稲,儔,魛,椡,禱,裯,搗,翿,嶌,禂,擣,壔,嶹,幬,釖,隝,陦,隯
de	的,地,得,德,嘚,锝,底,徳,悳,淂
dei	得,嘚
den	扽,扥
deng	等,灯,登,瞪,邓,凳,蹬,噔,镫,磴,澄,戥,嶝,璒,燈,鄧,鐙,簦,豋,墱,嬁
di	地,第,弟,底,低,帝,敌,抵,递,迪,滴,的,蒂,狄,笛,嘀,堤,邸,嫡,棣,缔,谛,涤,荻,娣,诋,氐,砥,镝,睇,翟,坻,柢,鞮,羝,觌,骶,籴,碲,禘,菂,𬱖,踶,髢,玓,杕,茋,蹢,䃅,䗖,媂,提,𤧛,旳,敵,俤,聜,墬,袛,磾,諦,奀,滌,遞,厎,牴,蚳,締,墑,苖,螮,糴,彽,菧,嚁,蔕,阺,呧,廸,隄,釱,蔋,鏑,馰,藡,逓,鸐,梑,眱,軧,靮,焍,弤,甋,梊
dia	嗲
dian	点,电,店,殿,典,颠,垫,甸,惦,奠,掂,癫,巅,淀,滇,玷,踮,佃,靛,碘,钿,簟,癜,坫,阽,扂,琔,點,丶,電,敁,槙,顛,厧,傎,磹,墊,癲,瘨,巔,蒧,壂,巓,婰,蹎,椣,澱,蕇,驔,齻,婝
diao	掉,调,屌,雕,吊,钓,刁,叼,貂,凋,碉,鲷,铫,铞,窎,汈,弔,鸟,釣,弴,伄,魡,蛁,鯛,琱,彫,蓧,鵰,虭,殦,雿,簓,奝,窵
die	爹,蝶,跌,叠,碟,迭,谍,喋,牒,堞,耋,鲽,昳,蹀,瓞,垤,绖,咥,楪,𫶇,褋,疊,諜,疂,詄,峌,絰,艓,胅,嵽,蜨,疉,畳,眣,镻,苵,跮
ding	定,顶,丁,盯,订,叮,鼎,钉,锭,町,仃,酊,腚,玎,碇,疔,啶,耵,萣,頂,釘,訂,掟,錠,帄,嵿,顁,椗,虰,聢,飣,靪,薡,碠,甼
diu	丢,铥,丟,颩,銩
dong	动,东,洞,懂,冬,董,冻,栋,咚,峒,胴,侗,恫,鸫,氡,垌,硐,胨,岽,𬟽,東,動,夂,棟,凍,戙,崠,姛,蝀,働,諌,涷,苳,挏,嬞,迵,蕫,鮗,揰,菄,埬,鼕,鶇,霘,駧,鶫
dou	都,斗,抖,豆,逗,兜,陡,窦,痘,蚪,蔸,篼,读,钭,脰,鬥,枓,闘,竇,鈄,荳,鬪,郖,唗,酘,浢,餖,梪,瞗
du	度,独,毒,读,杜,肚,赌,督,渡,嘟,堵,妒,都,睹,笃,渎,镀,犊,牍,蠹,黩,阇,芏,椟,髑,厾,𬭊,顿,讀,獨,殰,賭,牘,篤,涜,読,鍍,秺,瀆,覩,妬,犢,帾,蝳,櫝,讟,詫,蠧,贕,韥,皾,韣,裻,黷,醏,韇,錖
duan	断,段,短,端,锻,缎,煅,椴,耑,簖,塅,瑖,斷,鍛,緞,偳,葮,毈,腶,籪,媏,躖,碫
dui	对,队,堆,兑,怼,碓,祋,㨃,𬭚,敦,镦,對,隊,対,兌,憝,搥,懟,濧,薱,譈,瀩,鴭,痽,頧
dun	顿,盾,蹲,敦,沌,遁,吨,钝,墩,炖,盹,惇,趸,礅,蹾,楯,砘,囤,镦,頓,鐓,伅,噸,燉,潡,不,鈍,遯,躉,撉,壿,驐
duo	多,躲,朵,夺,堕,哆,跺,踱,舵,咄,度,剁,铎,惰,垛,掇,哚,裰,埵,饳,亸,剟,驮,㙍,杕,柁,敓,奪,墮,朶,躱,沲,墯,跢,鐸,錞,柮,陊,剫,敪,嚲,痑,奲,趓,嶞,毲,鈬,綞,椯,鮵,鬌,鵽
e	饿,呃,恶,额,俄,愕,鹅,噩,娥,厄,峨,鄂,遏,扼,鳄,蛾,婀,讹,阿,阏,锷,颚,鹗,萼,屙,谔,垩,腭,欸,莪,轭,苊,锇,𫫇,崿,姶,涐,哦,堨,𥔲,诶,丨,峩,鍔,枙,惡,皒,餓,額,噁,鵝,砵,訛,顎,囮,搹,迗,娾,珴,悪,阨,鱷,睋,諤,譌,鵞,頞,咢,堮,軛,遻,砐,堊,廅,峉,蝁,鑩,鰐,鶚,軶,歞,匎,餩,齶,蚅,蕚,砨,櫮,鵈,豟
ei	诶,欸
en	嗯,恩,摁,蒽,奀,唔,峎
eng	嗯,鞥
er	而,儿,二,尔,耳,饵,迩,贰,洱,珥,铒,鸸,陑,鲕,咡,耏,佴,弍,兒,爾,洏,栭,貳,侕,餌,鉺,邇,弐,毦,貮,粫,荋,刵,薾,胹,栮,輀,峏,鴯,駬,鮞,轜,衈
fa	发,法,罚,乏,伐,阀,筏,砝,珐,垡,𠲎,發,髮,発,罰,髪,閥,琺,沷,醗,瞂,罸,疺,藅
fan	翻,反,饭,烦,凡,犯,范,番,繁,返,泛,帆,贩,樊,藩,梵,蕃,幡,蘩,璠,矾,畈,燔,钒,氾,蹯,墦,𫔍,𬸪,攵,勫,飯,犭,煩,範,辺,販,仮,柉,汎,繙,旛,薠,瀿,籵,笵,轓,軓,奿,礬,膰,釩,杋,飜,鐇,払,瀪,軬,蠜,笲,羳,嬏,舩,旙,颿,橎,滼,鱕,鷭
fang	放,房,防,方,仿,芳,访,妨,坊,纺,肪,舫,枋,昉,鲂,邡,钫,蚄,牥,彷,倣,訪,紡,鈁,昞,魴,瓬,淓,錺,髣,鶭
fei	飞,非,费,菲,废,妃,肥,啡,匪,沸,肺,绯,斐,霏,翡,扉,吠,诽,蜚,狒,腓,悱,淝,芾,痱,榧,鲱,篚,朏,棐,镄,剕,𬴂,飛,鐨,費,俷,廢,緋,櫠,馡,怫,癈,婓,誹,屝,暃,厞,騑,廃,蜰,裶,騛,蟦,奜,襏,曊,鯡,餥,濷,昲,鼣,胇,疿
fen	分,份,纷,奋,愤,粉,氛,吩,芬,焚,坟,忿,粪,汾,玢,酚,棼,偾,鲼,棻,鼢,翂,瀵,坋,豮,𣸣,濆,墳,蚡,紛,昐,糞,憤,蒶,奮,枌,僨,蕡,妢,雰,鈖,羵,黺,轒,豶,弅,魵,膹,幩,梤,橨,鳻,羒,鼖,饙,黂,炃,竕,鐼,秎
feng	风,封,凤,峰,疯,锋,枫,丰,奉,冯,缝,逢,讽,蜂,烽,俸,沣,沨,酆,葑,唪,砜,赗,崶,浲,風,鳳,瘋,賵,楓,豐,鋒,馮,偑,峯,縫,諷,灃,檒,渢,犎,覂,堸,妦,桻,麷,猦,凬,捀,焨,甮,艂,飌
fiao	覅
fo	佛,仏,坲
fou	否,缶,紑,缹,鴀
fu	服,夫,父,复,福,府,副,负,付,富,妇,附,伏,傅,浮,扶,抚,符,肤,腹,幅,咐,覆,腐,弗,赴,斧,俯,赋,辅,芙,拂,甫,俘,缚,蝠,敷,脯,佛,袱,腑,辐,孚,驸,釜,苻,匐,宓,阜,孵,馥,茀,涪,茯,凫,蚨,氟,拊,蝮,讣,黼,芾,趺,怫,蜉,黻,麸,绂,跗,鲋,罘,滏,郛,菔,桴,幞,祓,呋,绋,莩,赙,𫖯,鄜,芣,洑,𫓧,簠,玞,稃,榑,韨,砆,垺,艴,鳆,㕮,㳇,枹,琈,復,頫,褔,冨,鍑,輔,賦,負,鵩,撫,婦,諨,綍,伕,膚,複,縛,砩,偩,姇,帗,祔,駙,冹,鈇,偪,袚,紱,輻,紨,彿,箙,枎,蝜,泭,柎,衭,垘,緮,咈,荂,虙,刜,坿,麩,訃,蚹,輹,綒,岪,椨,鮒,萯,柭,鳧,葍,笰,怤,萉,罦,紼,釡,賻,蚥,蕧,澓,鰒,烰,弣,髴,蜅,郙,踾,荴,玸,韍,鶝,鳬,柫,邞,艀,蛗,嬔,畉,翇,糐,鴔
ga	尬,嘎,伽,噶,旮,咖,尕,尜,轧,钆,戛,胳,夹
